Field name,Importance,Field Description,Sample data
Product Number,mandatory for sheet,"Product Number*

A key that uniquely identifies the product.

Type: Text
Length: 80",MIG_TG001
Product Type,mandatory for sheet,"Product Type*

Key that assigns the product to a group of products such as raw product, finished product or trading goods.

Type: Text
Length: 80",Trading goods (HAWA)
Product Group,,"Product Group

Key that you use to group together several products or services with the same attributes, and to assign them to a particular product group.

Type: Text
Length: 80",Trading Materials(L001)
Description,mandatory for sheet,"Description*

Text that describes the product in more detail.
Note: You can maintain additional descriptions (for languages other than those provided on the 'Basic Data' sheet).

Type: Text
Length: 40",Trading good 001
Language Key,mandatory for sheet,"Language Key*

Please provide the language for the product description.



Type: Text
Length: 80",English(EN)
Base Unit of Measure (ISO Format),mandatory for sheet,"Base Unit of Measure (ISO Format)*

Unit of measure in which stocks of the product are managed. The system converts all the quantities you enter in other units of measure (alternative units of measure) to the base unit of measure. Note: define your alternative units of measure in sheet 'Alternative Unit of Measure'.

Type: Text
Length: 80",Piece(PCE)
Change Number,,"Change Number

Number used to uniquely identify a change master record.

Type: Text
Length: 80",
Revision Level,,"Revision Level

Indicates a product or document's change status in addition to the change number.

Type: Text
Length: 80",
GTIN,,"GTIN

The GTIN on the Basic Data sheet always relates to the base unit of measure. Note: if you have additional GTIN's for this unit please enter them on the Additional GTIN sheet. The GTIN entered here is always the Main GTIN.
With internal number assignment, you enter the GTIN category but not a GTIN.

Type: Text
Length: 18",
GTIN Category,,"GTIN Category

The EAN category defines the following attributes of the corresponding EAN:
Type/method of number assignment (internal and/or external number assignment) and details as to whether alphanumerical EANs are allowed
Check-digit algorithm that checks whether a check digit is required
Prefix (for perishables EANs)
Length of the EAN.

Type: Text
Length: 80",
Division,,"Division

A way of grouping products, or services. The system uses divisions to determine the sales areas and the business areas for a product, or service. Please maintain the division for all sales relevant products.

Type: Text
Length: 80",
Old Product Number,,"Old Product Number

Number under which you have managed the product so far or still manage it, for example, in another system or in a card index.
The maximum length of field Old Product Number is identical with the defined length for product numbers in your system.

Type: Text
Length: 40",
